Korean	Romanization	Romanization(No vowel)	English (No vowel)	English	Fuzzy Score
홍조	hong-jo	hngj	flshng	flushing	60
파티션	pa-ti-syeon	ptsyn	prttn	partition	60
조현	jo-hyeon	jhyn	ch hyn	cho hyun	60
볼링	bor-ring	brrng	bwlng	bowling	60
마멀레이드	ma-meor-re-i-deu	mmrrd	mrmld	marmalade	60
라푼젤	ra-pun-jer	rpnjr	rpnzl	rapunzel	60
내레이션	nae-re-i-syeon	nrsyn	nrrtn	narration	60
디스플레이	di-seu-peur-re-i	dsprr	dsply	display	60
펜싱	pen-sing	pnsng	fncng	fencing	60
발레리나	bar-re-ri-na	brrrn	bllrn	ballerina	60
노스탤지어	no-seu-taer-ji-eo	nstrj	nstlg	nostalgia	60
랩소디	raeb-so-di	rbsd	rhpsdy	rhapsody	60
은행업	eun-haeng-eob	nhngb	bnkng	banking	60
부야베스	bu-ya-be-seu	bybs	bllbss	bouillabaisse	60
버블티	beo-beur-ti	bbrt	bbbl t	bubble tea	60
테레빈	te-re-bin	trbn	trpntn	turpentine	60
환금	hwan-geum	hwngm	xchng	exchange	60
헤드라이트	he-deu-ra-i-teu	hdrt	hdlght	headlight	60
아이돌스타	a-i-dor-seu-ta	drst	dl str	idol star	60
몽마	mong-ma	mngm	nghtmr	nightmare	60
콤팩트	kom-paeg-teu	kmpgt	cmpct	compact	60
어드밴티지	eo-deu-baen-ti-ji	dbntj	dvntg	advantage	60
핸디캡	haen-di-kaeb	hndkb	hndcp	handicap	60
컬링	keor-ring	krrng	crlng	curling	60
생선회	saeng-seon-hoe	sngsnh	sshm	sashimi	60
팟캐스트	pas-kae-seu-teu	pskst	pdcst	podcast	60
란탄	ran-tan	rntn	lnthnm	lanthanum	60
양반	yang-ban	yngbn	rstcrt/yngbn	aristocrat/yangban	59
쇼핑몰	syo-ping-mor	sypngmr	shppng mll	shopping mall	59
박민영	bag-min-yeong	bgmnyng	prk mn yng	park min young	59
나라	na-ra	nr	cntry	country	57
스타일	seu-ta-ir	str	styl	style	57
매니저	mae-ni-jeo	mnj	mngr	manager	57
배달	bae-dar	bdr	dlvr	deliver	57
오디션	o-di-syeon	dsyn	dtn	audition	57
센터	sen-teo	snt	cntr	center	57
부담	bu-dam	bdm	brdn	burden	57
김치	gim-ci	gmc	kmch	kimchi	57
디자인	di-ja-in	djn	dsgn	design	57
사연	sa-yeon	syn	stry	story	57
간호사	gan-ho-sa	gnhs	nrs	nurse	57
리조트	ri-jo-teu	rjt	rsrt	resort	57
사위	sa-wi	sw	snnlw	son-in-law	57
샤워	sya-weo	syw	shwr	shower	57
차량	ca-ryang	cryng	cr	car	57
오피스텔	o-pi-seu-ter	pstr	std	studio	57
기관	gi-gwan	ggwn	rgn	organ	57
메시지	me-si-ji	msj	mssg	message	57
신호	sin-ho	snh	sgnl	signal	57
이탈	i-tar	tr	dprtr	departure	57
달러	dar-reo	drr	dllr	dollar	57
트럭	teu-reog	trg	trck	truck	57
바코드	ba-ko-deu	bkd	brcd	barcode	57
손실	son-sir	snsr	lss	loss	57
파스	pa-seu	ps	plstr	plaster	57
기린	gi-rin	grn	grff	giraffe	57
티켓	ti-kes	tks	tckt	ticket	57
써니	sseo-ni	ssn	snny	sunny	57
마사지	ma-sa-ji	msj	mssg	massage	57
마이크	ma-i-keu	mk	mk/mc	mike/mic	57
쇼크	syo-keu	syk	shck	shock	57
틀림	teur-rim	trrm	rrr	error	57
투성이	tu-seong-i	tsng	tss	tissue	57
진출	jin-cur	jncr	ntr	enter	57
노하우	no-ha-u	nh	knwhw	know-how	57
레슨	re-seun	rsn	lssn	lesson	57
샐러드	saer-reo-deu	srrd	sld	salad	57
캐스팅	kae-seu-ting	kstng	cst/cstng	cast/casting	57
금전	geum-jeon	gmjn	mny	money	57
간판	gan-pan	gnpn	sgn	sign	57
선미	seon-mi	snm	strn	stern	57
칼날	kar-nar	krnr	knf	knife	57
발휘	bar-hwi	brhw	shw	show	57
마켓	ma-kes	mks	mrkt	market	57
자켓	ja-kes	jks	jckt	jacket	57
죄값	joe-gabs	jgbs	wgs	wages	57
김주	gim-ju	gmj	km j	kim joo	57
캔디	kaen-di	knd	cndy	candy	57
재석	jae-seog	jsg	j sk	jae suk	57
블로그	beur-ro-geu	brrg	blg	blog	57
그릴	geu-rir	grr	grll	grill	57
무녀	mu-nyeo	mny	shmn	shaman	57
휴일	hyu-ir	hyr	hldy	holiday	57
발신	bar-sin	brsn	snd	send	57
스위트룸	seu-wi-teu-rum	swtrm	st	suite	57
장르	jang-reu	jngr	gnr	genre	57
심상	sim-sang	smsng	mg	image	57
체리	ce-ri	cr	chrry	cherry	57
빈대	bin-dae	bnd	bdbg	bedbug	57
시럽	si-reob	srb	syrp	syrup	57
매뉴얼	mae-nyu-eor	mnyr	mnl	manual	57
컴온	keom-on	kmn	cm n	come on	57
사다리	sa-da-ri	sdr	lddr	ladder	57
트랙	teu-raeg	trg	trck	track	57
터널	teo-neor	tnr	tnnl	tunnel	57
매복	mae-bog	mbg	mbsh	ambush	57
태클	tae-keur	tkr	tckl	tackle	57
타깃	ta-gis	tgs	trgt	target	57
이어폰	i-eo-pon	pn	rphns	earphones	57
으쓱	eu-sseug	ssg	shrg	shrug	57
스쿠터	seu-ku-teo	skt	sctr	scooter	57
커튼	keo-teun	ktn	crtn	curtain	57
폴리스	por-ri-seu	prrs	pls	polis	57
코미디	ko-mi-di	kmd	cmdy	comedy	57
트릴	teu-rir	trr	trll	trill	57
미사일	mi-sa-ir	msr	mssl	missile	57
리좀	ri-jom	rjm	rhzm	rhizome	57
포털	po-teor	ptr	prtl	portal	57
패키지	pae-ki-ji	pkj	pckg	package	57
빗자루	bis-ja-ru	bsjr	brm	broom	57
에센스	e-sen-seu	sns	ssnc	essence	57
수치심	su-ci-sim	scsm	shm	shame	57
리모콘	ri-mo-kon	rmkn	rmt	remote	57
시발	si-bar	sbr	strt	start	57
썬글라스	sseon-geur-ra-seu	ssngrrs	snglsss	sunglasses	57
성자	seong-ja	sngj	snt	saint	57
위력	wi-ryeog	wryg	pwr	power	57
구더기	gu-deo-gi	gdg	mggt	maggot	57
테라스	te-ra-seu	trs	trrc	terrace	57
강타	gang-ta	gngt	bng	bang	57
트릭	teu-rig	trg	trck	trick	57
댄서	daen-seo	dns	dncr	dancer	57
색칠	saeg-cir	sgcr	clr	color	57
니스	ni-seu	ns	vrnsh	varnish	57
엑스트라	eg-seu-teu-ra	gstr	xtr	extra	57
일신	ir-sin	rsn	rnwl	renewal	57
재킷	jae-kis	jks	jckt	jacket	57
코러스	ko-reo-seu	krs	chrs	chorus	57
일벌	ir-beor	rbr	wrkr	worker	57
피클	pi-keur	pkr	pckl	pickle	57
배속	bae-sog	bsg	ssgn	assign	57
채팅	cae-ting	ctng	cht	chat	57
라켓	ra-kes	rks	rckt	racket	57
시름	si-reum	srm	srrw	sorrow	57
링크	ring-keu	rngk	lnk	link	57
팬케이크	paen-ke-i-keu	pnkk	pnck/pncks	pancake/pancakes	57
남색	nam-saeg	nmsg	ndg	indigo	57
비속어	bi-sog-eo	bsg	slng	slang	57
텍스트	teg-seu-teu	tgst	txt	text	57
멜론	mer-ron	mrrn	mln	melon	57
김지	gim-ji	gmj	km j	kim ji	57
쉐도우	swe-do-u	swd	shdw	shadow	57
트로카	teu-ro-ka	trk	trcr	trocar	57
스태프	seu-tae-peu	stp	stff	staff	57
실태	sir-tae	srt	rlty	reality	57
앰프	aem-peu	mp	mplfr	amplifier	57
플레이어	peur-re-i-eo	prr	plyr	player	57
오찬	o-can	cn	lnchn	luncheon	57
제왕	je-wang	jwng	kng	king	57
코튼	ko-teun	ktn	cttn	cotton	57
원기	weon-gi	wng	nrgy	energy	57
스틱	seu-tig	stg	stck	stick	57
곡물	gog-mur	ggmr	grn	grain	57
자칼	ja-kar	jkr	jckl	jackal	57
블레이드	beur-re-i-deu	brrd	bld	blade	57
아날로그	a-nar-ro-geu	nrrg	nlg	analog	57
앵글	aeng-geur	nggr	ngl	angle	57
서러움	seo-reo-um	srm	srrw	sorrow	57
코메디	ko-me-di	kmd	cmdy	comedy	57
포탈	po-tar	ptr	prtl	portal	57
블라우스	beur-ra-u-seu	brrs	bls	blouse	57
리플	ri-peur	rpr	rppl	ripple	57
넥타	neg-ta	ngt	nctr	nectar	57
엔지니어	en-ji-ni-eo	njn	ngnr	engineer	57
크라운	keu-ra-un	krn	crwn	crown	57
발산	bar-san	brsn	rls	release	57
헬퍼	her-peo	hrp	hlpr	helper	57
묵살	mug-sar	mgsr	gnr	ignore	57
카바레	ka-ba-re	kbr	cbrt	cabaret	57
모듈	mo-dyur	mdyr	mdl	module	57
말차	mar-ca	mrc	mtch	matcha	57
제산	je-san	jsn	dvsn	division	57
린넨	rin-nen	rnnn	lnn	linen	57
쐐기	sswae-gi	sswg	wdg	wedge	57
버클	beo-keur	bkr	bckl	buckle	57
틀니	teur-ni	trn	dntr	denture	57
사파이어	sa-pa-i-eo	sp	spphr	sapphire	57
안감	an-gam	ngm	lnng	lining	57
펜더	pen-deo	pnd	fndr	fender	57
에어로빅	e-eo-ro-big	rbg	rbcs	aerobics	57
스톡	seu-tog	stg	stck	stock	57
팬츠	paen-ceu	pnc	pnts	pants	57
테두리	te-du-ri	tdr	brdr	border	57
크롬	keu-rom	krm	chrm	chrome	57
슬라이드	seur-ra-i-deu	srrd	sld	slide	57
로켓	ro-kes	rks	rckt	rocket	57
패킷	pae-kis	pks	pckt	packet	57
메뉴판	me-nyu-pan	mnypn	mn	menu	57
리모컨	ri-mo-keon	rmkn	rmt	remote	57
에탄올	e-tan-or	tnr	thnl	ethanol	57
헛기침	heos-gi-cim	hsgcm	hm	hem	57
인덱스	in-deg-seu	ndgs	ndx	index	57
망사	mang-sa	mngs	msh	mesh	57
사타구니	sa-ta-gu-ni	stgn	grn	groin	57
포켓	po-kes	pks	pckt	pocket	57
트롤	teu-ror	trr	trll	troll	57
체인점	ce-in-jeom	cnjm	chn	chain	57
피처	pi-ceo	pc	ptchr	pitcher	57
롤러	ror-reo	rrr	rllr	roller	57
갈빗대	gar-bis-dae	grbsd	rb	rib	57
장음	jang-eum	jngm	lng	long	57
펄사	peor-sa	prs	plsr	pulsar	57
머핀	meo-pin	mpn	mffn	muffin	57
머글	meo-geur	mgr	mggl	muggle	57
오프사이드	o-peu-sa-i-deu	psd	ffsd	offside	57
칠기	cir-gi	crg	lcqr	lacquer	57
볼레로	bor-re-ro	brrr	blr	bolero	57
말라리아	mar-ra-ri-a	mrrr	mlr	malaria	57
스무디	seu-mu-di	smd	smth	smoothie	57
바주카포	ba-ju-ka-po	bjkp	bzk	bazooka	57
액세스	aeg-se-seu	gss	ccss	access	57
아르페지오	a-reu-pe-ji-o	rpj	rpgg	arpeggio	57
글렌체크	geur-ren-ce-keu	grrnck	gln chck	glen check	57
버킷	beo-kis	bks	bckt	bucket	57
시프트	si-peu-teu	spt	shft	shift	57
어댑터	eo-daeb-teo	dbt	dptr	adapter	57
오버헤드	o-beo-he-deu	bhd	vrhd	overhead	57
레퀴엠	re-kwi-em	rkwm	rqm	requiem	57
잉곳	ing-gos	nggs	ngt	ingot	57
실드	sir-deu	srd	shld	shield	57
니켈	ni-ker	nkr	nckl	nickel	57
토카타	to-ka-ta	tkt	tcct	toccata	57
테크노	te-keu-no	tkn	tchn	techno	57
펄서	peor-seo	prs	plsr	pulsar	57
타이핑	ta-i-ping	tpng	typ	type	57
블루스	beur-ru-seu	brrs	bls	blues	57
곡류	gog-ryu	ggry	grn	grain	57
카본	ka-bon	kbn	crbn	carbon	57
플러그	peur-reo-geu	prrg	plg	plug	57
태슬	tae-seur	tsr	tssl	tassle	57
상영	sang-yeong	sngyng	scrnng/shwng	screening/showing	56
폴리프로필렌	por-ri-peu-ro-pir-ren	prrprprrn	plyprpyln	polypropylene	56
컨디션	keon-di-syeon	kndsyn	cndtn	condition	55
성분	seong-bun	sngbn	ngrdnt	ingredient	55
샴페인	syam-pe-in	sympn	chmpgn	champagne	55
심통	sim-tong	smtng	dspstn	disposition	55
공학	gong-hag	gnghg	ngnrng	engineering	55
성실	seong-sir	sngsr	sncrty	sincerity	55
커미션	keo-mi-syeon	kmsyn	cmmssn	commission	55
승객	seung-gaeg	snggg	pssngr	passenger	55
중력	jung-ryeog	jngryg	grvty	gravity	55
크리스탈	keu-ri-seu-tar	krstr	crystl	crystal	55
플라스틱	peur-ra-seu-tig	prrstg	plstc	plastic	55
파운데이션	pa-un-de-i-syeon	pndsyn	fndtn	foundation	55
프랜차이즈	peu-raen-ca-i-jeu	prncj	frnchs	franchise	55
그램	geu-raem	grm	grm/grms	gram/grams	55
클리닝	keur-ri-ning	krrnng	clnng	cleaning	55
감탄사	gam-tan-sa	gmtns	xclmtn	exclamation	55
산란	san-ran	snrn	scttrng	scattering	55
커뮤니티	keo-myu-ni-ti	kmynt	cmmnty	community	55
워크숍	weo-keu-syob	wksyb	wrkshp	workshop	55
성역	seong-yeog	sngyg	snctry	sanctuary	55
방갈로	bang-gar-ro	bnggrr	bnglw	bungalow	55
새총	sae-cong	scng	slngsht	slingshot	55
아성	a-seong	sng	strnghld	stronghold	55
어셈블리	eo-sem-beur-ri	smbrr	ssmbly	assembly	55
피켓	pi-kes	pks	pckt/sgn	picket/sign	55
계량	gye-ryang	gyryng	wghng	weighing	55
한자성어	han-ja-seong-eo	hnjsng	chngy	chengyu	55
파운드	pa-un-deu	pnd	pnd/pnds	pound/pounds	55
렌터카	ren-teo-ka	rntk	cr rntl	car rental	55
블루베리	beur-ru-be-ri	brrbr	blbrry	blueberry	55
파인트	pa-in-teu	pnt	pnt/pnts	pint/pints	55
바이올리니스트	ba-i-or-ri-ni-seu-teu	brrnst	vlnst	violinist	55
콩크리트	kong-keu-ri-teu	kngkrt	cncrt	concrete	55
칸타빌레	kan-ta-bir-re	kntbrr	cntbl	cantabile	55
캐스터네츠	kae-seu-teo-ne-ceu	kstnc	cstnts	castanets	55
카피라이터	ka-pi-ra-i-teo	kprt	cpywrtr	copywriter	55
포르말린	po-reu-mar-rin	prmrrn	frmln	formalin	55
할리퀸	har-ri-kwin	hrrkwn	hrlqn	harlequin	55
태형	tae-hyeong	thyng	whppng	whopping	55
콩소메	kong-so-me	kngsm	cnsmmé	consommé	55
라커룸	ra-keo-rum	rkrm	lckr rm	locker room	55
알고리즘	ar-go-ri-jeum	rgrjm	lgrthm	algorithm	55
니힐리즘	ni-hir-ri-jeum	nhrrjm	nhlsm	nihilism	55
쇼핑	syo-ping	sypng	shp/shppng	shop/shopping	53
흥정	heung-jeong	hngjng	hgglng/brgnng	haggling/bargaining	53
롤러코스터	ror-reo-ko-seu-teo	rrrkst	rllr cstr	roller coaster	53
박흥수	bag-heung-su	bghngs	prk hng s	park heung soo	53
블록버스터	beur-rog-beo-seu-teo	brrgbst	blckbstr	blockbuster	53
패션모델	pae-syeon-mo-der	psynmdr	fshn mdl	fashion model	53
